"Zone","Intended Tariff ID","Date","Desired Start","Configured Start","Start Time Match","Desired End","Configured End","End Time Match","RowGUID","Duplicate Eventday Entry"
"61685","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","d8dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61662","61682","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","d9dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61663","61682","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","dadcbbc7-d464-ed11-80e9-0a94ef448f59",
"61667","61682","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","dddcbbc7-d464-ed11-80e9-0a94ef448f59",
"61668","61682","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","dedcbbc7-d464-ed11-80e9-0a94ef448f59",
"61680","61682","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","e0dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61682","61682","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","e1dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61708","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","e4dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61715","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","e5dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61716","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","e8dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61717","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","e9dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61718","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","eadcbbc7-d464-ed11-80e9-0a94ef448f59",
"61719","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","eddcbbc7-d464-ed11-80e9-0a94ef448f59",
"61721","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","eedcbbc7-d464-ed11-80e9-0a94ef448f59",
"61725","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f2dcbbc7-d464-ed11-80e9-0a94ef448f59",
